foul	f {O l
mush	m 6 S
naive	n Ae ' i: v
anchorage	' { N k @ r\ I dZ
grief	g r\ i: f
phone	f @} n
deciduous	d @ ' s I dZ }: @ s
boomer	' b }: m @
excellent	' e k s @ l @ n t
adjourn	@ ' dZ 3: n
pouch	p {O tS
marsupial	m 6: ' s j }: p i: @ l
me	m i:
hutch	h 6 tS
join	dZ oI n
Jun.	dZ }: n
white-ant	' w Ae t { n t
warn	w o: n
penknife	' p e n n Ae f
tissue	' t I S }:
install	I n ' s t o: l
my	m Ae
grenade	g r\ @ ' n {I d
dither	' d I D @
quarrel	' k w O r\ @ l
mnemonic	n @ ' m O n I k
watertight	' w o: t @ t Ae t
unilateral	j }: n i: ' l { t @ r\ @ l
estate	@ ' s t {I t
comparative	k @ m ' p { r\ @ t I v
jumble	' dZ 6 m b @ l
attract	@ ' t r\ { k t
guarantee	g { r\ @ n ' t i:
ceremony	' s e r\ @ m @ n i:
end	e n d
bung	b 6 N
keen	k i: n
enquiry	I n ' k w Ae r\ i:
bunk	b 6 N k
finalist	' f Ae n @ l @ s t
shred	S r\ e d
toxin	' t O k s @ n
adjacent	@ ' dZ {I s @ n t
toxic	' t O k s I k
gate	g {I t
widespread	' w Ae d s p r\ e d
ancestor	' { n s e s t @
finalise	' f Ae n @ l Ae z
raffle	' r\ { f @ l
badly	b { d l i:
poker	' p @} k @
kilowatt	' k I l @ w O t
description	d @ ' s k r\ I p S @ n
horoscope	' h O r\ @ s k @} p
mess	m e s
insecure	I n s @ ' k j }: @
arthritis	6: ' T r\ Ae t @ s
delicacy	' d e l @ k @ s i:
demanding	d @ ' m { n d I N
underhand	' 6 n d @ h { n d
mesh	m e S
burly	' b 3: l i:
parallel	' p { r\ @ l e l
splendid	' s p l e n d @ d
spout	s p {O t
Japanese	dZ { p @ ' n i: z
daredevil	' d e: d e v @ l
scout	s k {O t
jungle	' dZ 6 N g @ l
enter	' e n t @
aloud	@ ' l {O d
salesperson	' s {I l z p 3: s @ n
mastectomy	m { s ' t e k t @ m i:
punctuation	p 6 N k tS }: ' {I S @ n
deform	d @ ' f o: m
misadventure	m I s @ d ' v e n tS @
sprout	s p r\ {O t
over	' @} v @
clench	k l e n tS
sickly	' s I k l i:
oven	' 6 v @ n
strangle	' s t r\ { N g @ l
digest	d @ ' dZ e s t
beside	b @ ' s Ae d
bottleneck	' b O t @ l n e k
fairway	' f e: w {I
flowerbed	' f l {O @ b e d
comprehend	k O m p r\ @ ' h e n d
tilts	t I l t s
complex	' k O m p l e k s
compelling	k @ m ' p e l I N
strand	s t r\ { n d
fade	f {I d
centimetre	' s e n t @ m i: t @
Judaism	' dZ }: d {I I z @ m
tourist	' t U @ r\ @ s t
plaster	' p l 6: s t @
manicure	' m { n @ k j U @
monarch	' m O n 6: k
disreputable	d I s ' r\ e p j @ t @ b @ l
hitherto	h I D @ ' t }:
rental	' r\ e n t @ l
stereo	' s t e r\ i: @}
quadrangle	' k w O d r\ { N g @ l
chuck	tS 6 k
choir	' k w Ae @
filling	' f I l I N
eleventh	@ ' l e v @ n T
victory	' v I k t r\ i:
each	i: tS
prohibit	p r\ @ ' h I b @ t
cranny	k r\ { n i:
constipation	k O n s t @ ' p {I S @ n
unscrew	6 n ' s k r\ }:
gymnasium	dZ I m ' n {I z i: @ m
clothe	k l @} D
pounce	p {O n s
depress	d @ ' p r\ e s
funnel-web	' f 6 n @ l w e b
nil	n I l
fraught	f r\ o: t
sang	s { N
god	g O d
motel	m @} ' t e l
tonsil	' t O n s @ l
vegemite	v e dZ @ m Ae t
laid	l {I d
sane	s {I n
millennium	m @ ' l e n i: @ m
got	g O t
washer	' w O S @
perception	p @ ' s e p S @ n
carcass	' k 6: k @ s
rail	r\ {I l
eternal	@ ' t 3: n @ l
free	f r\ i:
masterpiece	' m 6: s t @ p i: s
formation	f o: ' m {I S @ n
hane	h {I n
W	w e s t
wanted	w O n t @ d
acrobat	' { k r\ @ b { t
jubilant	' dZ }: b @ l @ n t
denture	' d e n tS @
suburbia	s @ ' b 3: b i: @
tolerant	' t O l @ r\ @ n t
filter	' f I l t @
hopeless	' h @} p l @ s
soda	' s @} d @
aspire	@ ' s p Ae @
scheme	s k i: m
onto	' O n t @
recite	r\ @ ' s Ae t
rang	r\ { N
already	o: l ' r\ e d i:
gazelle	g @ z e l
re-count	' r\ i: k {O n t
frantic	' f r\ { n t I k
primary	' p r\ Ae m r\ i:
rank	r\ { N k
hearing	' h I@ r\ I N
bombard	b O m ' b 6: d
fantasy	' f { n t @ s i:
sober	' s @} b @
scissors	' s I z @ z
calorie	' k { l @ r\ i:
mercury	' m 3: k j @ r\ i:
priority	p r\ Ae ' O r\ @ t i:
toy	t oI
their	D e:
sarcasm	' s 6: k { z @ m
top	t O p
licorice	' l I k @ r\ I S
tow	t @}
heights	h Ae t s
ton	t 6 n
too	t }:
flippant	' f l I p @ n t
analgesic	{ n @ l ' dZ i: z I k
inconvenient	I N k @ n ' v i: n i: @ n t
paediatrician	p i: d i: @ ' t r\ I S @ n
glucose	' g l }: k @} s
urban	' 3: b @ n
ceiling	' s i: l I N
illiterate	I ' l I t @ r\ @ t
tool	t }: l
serve	s 3: v
took	t U k
solicitor	s @ ' l I s @ t @
toot	t }: t
incur	I N ' k 3:
western	' w e s t @ n
tampon	' t { m p O n
wardrobe	' w o: d r\ @} b
lather	' l { D @
nominate	' n O m @ n {I t
bloated	' b l @} t @ d
prong	p r\ O N
precocious	p r\ @ ' k @} S @ s
flame	f l {I m
mirth	m 3: T
beard	b I@ d
bridge	b r\ I dZ
donkey	' d O N k i:
fashion	' f { S @ n
handkerchief	' h { N k @ tS i: f
ran	r\ { n
ram	r\ { m
raw	r\ o:
rat	r\ { t
pylon	' p Ae l O n
affectation	{ f e k ' t {I S @ n
regulate	' r\ e g j @ l {I t
seminar	' s e m @ n 6:
ray	r\ {I
disorganised	d I s ' o: g @ n Ae z d
relapse	r\ @ ' l { p s
thoroughly	' T 6 r\ @ l i:
snow	s n @}
thorough	' T 6 r\ @
client	' k l Ae @ n t
hatch	h { tS
snob	s n O b
glimpsed	g l I m p s t
though	D @}
denominator	d @ ' n O m @ n {I t @
audition	o: ' d I S @ n
plenty	' p l e n t i:
coil	k oI l
coin	k oI n
the	D @
glow	g l @}
whinge	w I n dZ
lifesaver	' l Ae f s {I v @
flop	f l O p
flow	f l @}
freeway	' f r\ i: w {I
reputation	r\ e p j @ ' t {I S @ n
enterprise	' e n t @ p r\ Ae z
flog	f l O g
yank	j { N k
bait	b {I t
inspire	I n ' s p Ae @
saga	' s 6: g @
alight	@ ' l Ae t
queen	k w i: n
sage	s {I dZ
dupe	d j }: p
radio	' r\ {I d i: @}
intonation	I n t @ ' n {I S @ n
earth	3: T
peddle	' p e d @ l
bail	b {I l
shellfish	' S e l f I S
spite	s p Ae t
commence	k @ ' m e n s
knuckle	' n 6 k @ l
disgust	d @ s ' g 6 s t
lodge	l O dZ
announce	@ ' n {O n s
scripture	' s k r\ I p tS @
blue-collar	' b l }: k O l @
mixture	' m I k s tS @
sunglasses	' s 6 n g l 6: s @ z
asbestos	@ s ' b e s t @ s
kindling	' k I n d l I N
watch	w O tS
fluid	' f l }: @ d
baffle	' b { f @ l
despite	d @ ' s p Ae t
report	r\ @ ' p o: t
considerate	k @ n ' s I d @ r\ @ t
overbearing	@} v @ ' b e: r\ I N
spokesperson	' s p @} k s p 3: s @ n
public	' p 6 b l I k
twice	t w Ae s
erupt	@ ' r\ 6 p t
pacifist	' p { s @ f @ s t
automatic	o: t @ ' m { t I k
swept	s w e p t
habit	' h { b @ t
liquor	' l I k @
nun	n 6 n
demented	d @ ' m e n t @ d
corrupt	k @ ' r\ 6 p t
sporadic	s p @ ' r\ { d I k
byword	' b Ae w 3: d
capacity	k @ ' p { s @ t i:
mull	m 6 l
postbox	' p @} s t b O k s
paternal	p @ ' t 3: n @ l
grandmother	' g r\ { n m 6 D @
mud	m 6 d
catalogue	' k { t @ l O g
finger	' f I N g @
mum	m 6 m
approach	@ ' p r\ @} tS
component	k @ m ' p @} n @ n t
weak	w i: k
however	h {O ' e v @
boss	b O s
toothbrush	' t }: T b r\ 6 S
larynx	' l { r\ I N k s
devour	d @ ' v {O @
devout	d @ ' v {O t
spurt	s p 3: t
news	n j }: z
drowsy	' d r\ {O z i:
improve	I m ' p r\ }: v
protect	p r\ @ ' t e k t
irregular	I ' r\ e g j @ l @
ranger	' r\ {I n dZ @
jube	dZ }: b
fault	f O l t
jelly	' dZ e l i:
facet	' f { s @ t
emerald	' e m r\ @ l d
bodice	' b O d @ s
expense	@ k ' s p e n s
escapade	' e s k @ p {I d
confide	k @ n ' f Ae d
epidemic	e p @ ' d e m I k
trust	t r\ 6 s t
bingo	' b I N g @}
bathroom	' b 6: T r\ }: m
jobless	' dZ O b l @ s
beef	b i: f
been	b i: n
quickly	k w I k l i:
beneficiary	b e n @ ' f I S @ r\ i:
confident	' k O n f @ d @ n t
beer	b I@
expected	e k s p e k t @ d
cumquat	' k 6 m k w O t
fleeting	' f l i: t I N
loft	l O f t
bladder	' b l { d @
craft	k r\ 6: f t
catch	k { tS
sallow	' s { l @}
teapot	' t i: p O t
play	p l {I
apprehension	{ p r\ @ ' h e n S @ n
cracker	' k r\ { k @
n	e n
dept	d @ ' p 6: t m @ n t
thousandth	' T {O z @ n T
dashboard	' d { S b o: d
precede	p r\ @ ' s i: d
procedure	p r\ @ ' s i: dZ @
pyramid	' p I r\ @ m I d
broth	b r\ O T
turquoise	' t 3: k w oI z
brutal	' b r\ }: t @ l
exterior	@ k ' s t I@ r\ i: @
demoralise	d @ ' m O r\ @ l Ae z
pathology	p @ ' T O l @ dZ i:
suggest	s @ ' dZ e s t
wound	w {O n d
forehead	' f O r\ @ d
drawback	' d r\ o: b { k
several	' s e v r\ @ l
bifocals	b Ae ' f @} k @ l z
satellite	' s { t @ l Ae t
screw	s k r\ }:
social	' s @} S @ l
microphone	' m Ae k r\ @ f @} n
deflect	d @ ' f l e k t
suburb	' s 6 b 3: b
demister	d i: ' m I s t @
cycle	' s Ae k @ l
tassel	' t { s @ l
shortly	' S o: t l i:
forceful	' f o: s f U l
ocean	' @} S @ n
hearty	' h 6: t i:
mother	' m 6 D @
spencer	' s p e n s @
seasonal	' s i: z @ n @ l
bugger	' b 6 g @
appease	@ ' p i: z
departed	d @ ' p 6: t @ d
physique	f @ ' z i: k
bruise	b r\ }: z
spanner	' s p { n @
shorthand	' S o: t h { n d
scorpio	s k o: p i: @}
IOU	Ae @} ' j }:
megabyte	' m e g @ b Ae t
kelp	k e l p
teenager	' t i: n {I dZ @
pitiful	' p I t @ f @ l
humanity	h j }: ' m { n @ t i:
gave	g {I v
half-brother	' h 6: f b r\ 6 D @
aubergine	' @} b @ Z i: n
teetotal	' t i: t @} t @ l
D	d i:
singe	s I n dZ
upturn	' 6 p t 3: n
dismount	d I s ' m {O n t
quicksand	' k w I k s { n d
judge	dZ 6 dZ
sanitary	s { n @ t r\ i:
advanced	@ d ' v { n s t
apart	@ ' p 6: t
ditto	' d I t @}
gift	g I f t
zeal	z i: l
contradict	k O n t r\ @ ' d I k t
hunt	h 6 n t
dishonest	d I s ' O n @ s t
zoom	z }: m
celibacy	' s e l @ b @ s i:
mongrel	' m 6 N g r\ @ l
specific	s p @ ' s I f I k
offices	O f @ s @ z
officer	' O f @ s @
arbitrary	' 6: b @ t r\ @ r\ i:
hung	h 6 N
RSVP	6: r\ e s v i: ' p i:
superlative	s @ ' p 3: l @ t I v
HQ	{I tS ' k j }:
sponge	s p 6 n dZ
scrabble	' s k r\ { b @ l
election	@ ' l e k S @ n
escape	@ ' s k {I p
advertise	' { d v @ t Ae z
clucky	' k l 6 k i:
intellect	' I n t @ l e k t
clash	k l { S
armed	6: m d
ice	Ae s
everything	' e v r\ i: T I N
allocate	' { l @ k {I t
convict	k @ n ' v I k t
espionage	' e s p i: @ n 6: Z
cord	k o: d
core	k o:
khaki	k 6: ' k i:
sparse	s p 6: s
brawl	b r\ o: l
corn	k o: n
brawn	b r\ o: n
cork	k o: k
discount	' d I s k {O n t
menopause	' m e n @ p o: z
chapter	' tS { p t @
census	' s e n s @ s
eaves	i: v z
rim	r\ I m
choke	tS @} k
surround	s @ ' r\ {O n d
sunstroke	' s 6 n s t r\ @} k
trustworthy	' t r\ 6 s t w 3: D i:
dinner	' d I n @
ensure	e n ' S o:
curry	' k 6 r\ i:
primitive	' p r\ I m @ t I v
plastered	' p l 6: s t @ d
froze	f r\ @} z
civic	' s I v I k
civil	' s I v @ l
budgerigar	' b 6 dZ @ r\ i: g 6:
obscene	@ b ' s i: n
bath	b 6: T
accommodate	@ ' k O m @ d {I t
entrepreneur	O n t r\ @ p r\ @ ' n 3:
carafe	k @ ' r\ 6: f
tanker	' t { N k @
electorate	@ ' l e k t @ r\ @ t
cafeteria	k { f @ ' t I@ r\ i: @
cubicle	' k j }: b I k @ l
nuisance	' n j }: s @ n s
infidelity	I n f @ ' d e l @ t i:
rely	r\ @ ' l Ae
pearl	p 3: l
diggings	' d I g I N z
indispensable	I n d @ s ' p e n s @ b @ l
transform	t r\ { n s ' f o: m
sunlight	' s 6 n l Ae t
bloodthirsty	' b l 6 d T 3: s t i:
stuck	s t 6 k
lay-by	' l {I b Ae
fought	f o: t
metabolism	m @ ' t { b @ l I z @ m
head	h e d
medium	' m i: d i: @ m
amateur	' { m @ t @
heal	h i: l
deny	d @ ' n Ae
floorboard	' f l o: b o: d
heat	h i: t
hear	h I@
heap	h i: p
luxuriant	l 6 g ' Z }: r\ i: @ n t
counsel	' k {O n s @ l
megaphone	' m e g @ f @} n
flavour	' f l {I v @
muster	' m 6 s t @
utensil	j }: ' t e n s @ l
bargain	' b 6: g @ n
retire	r\ @ ' t Ae @
adore	@ ' d o:
decorate	' d e k @ r\ {I t
bide	b Ae d
latch	l { tS
penal	' p i: n @ l
trim	t r\ I m
forearm	' f o: r\ 6: m
fury	' f j }: r\ i:
sometime	' s 6 m t Ae m
check	tS e k
regime	r\ {I ' Z i: m
upheaval	6 p ' h i: v @ l
faithful	' f {I T f @ l
eerie	' I@ r\ i:
tit	t I t
whereas	w e: r\ ' { z
tip	t I p
junta	' dZ 6 n t @
tin	t I n
luscious	' l 6 S @ s
stagnant	' s t { g n @ n t
tie	t Ae
depot	' d e p @}
kerosene	k e r\ @ ' s i: n
pseudonym	' s j }: d @ n I m
evergreen	' e v @ g r\ i: n
picture	' p I k tS @
wombat	' w O m b { t
tasteful	' t {I s t f U l
toad	t @} d
liquidate	' l I k w @ d {I t
football	' f U t b o: l
miscellaneous	m I s @ ' l {I n i: @ s
dappled	' d { p @ l d
discharge	d I s ' tS 6: dZ
ESL	i: e s ' e l
bullet	' b U l @ t
navel	' n {I v @ l
yacht	j O t
withhold	w I D ' h @} l d
fasten	' f 6: s @ n
backward	' b { k w @ d
coach	k @} tS
remarkable	r\ @ ' m 6: k @ b @ l
affair	@ ' f e:
rob	r\ O b
rod	r\ O d
focus	' f @} k @ s
livelihood	' l Ae v l i: h U d
adjective	' { dZ @ k t I v
rot	r\ O t
discern	d @ ' s 3: n
puddle	' p 6 d @ l
wilful	' w I l f U l
netball	' n e t b o: l
passage	' p { s I dZ
environment	e n ' v Ae r\ @ n m @ n t
charge	tS 6: dZ
knackered	' n { k @ d
melon	' m e l @ n
coop	k }: p
advantage	@ d ' v { n t I dZ
airlift	' e: l I f t
gravitate	' g r\ { v @ t {I t
keeping	' k i: p I N
sloppy	' s l O p i:
congregation	k O N g r\ @ ' g {I S @ n
masturbate	' m { s t @ b {I t
cook	k U k
cool	k }: l
level	' l e v @ l
brother	' b r\ 6 D @
cloudy	' k l {O d i:
brothel	' b r\ O T @ l
quick	k w I k
lever	' l i: v @
pork	p o: k
drier	' d r\ Ae @
says	s e z
trend	t r\ e n d
pore	p o:
obsolete	' O b s @ l i: t
inland	' I n l { n d
dried	d r\ Ae d
bake	b {I k
bacteria	b { k ' t I@ r\ i: @
substitute	' s 6 b s t @ tS }: t
colic	' k O l I k
hymn	h I m
constitution	k O n s t @ ' t j }: S @ n
spire	' s p Ae @
tarmac	' t 6: m { k
up-market	' 6 p m 6: k @ t
reply	r\ @ ' p l Ae
Nov.	n @} ' v e m b @
clergy	' k l 3: dZ i:
water	' w o: t @
fluke	f l }: k
Jan.	' dZ { n j @ r\ i:
baseball	' b {I s b o: l
twentieth	' t w e n t i: @ T
hoarse	h o: s
seagull	s i: g 6 l
tire	t Ae @
boast	b @} s t
lazy	' l {I z i:
proud	p r\ {O d
descended	d @ ' s e n d @ d
hospitality	h O s p @ ' t { l @ t i:
weird	w I@ d
emerge	@ ' m 3: dZ
humour	' h j }: m @
hade	h {I d
expletive	@ k ' s p l i: t I v
shark	S 6: k
damnedest	' d { m d @ s t
scam	s k { m
crisis	' k r\ Ae s @ s
sledgehammer	' s l e dZ h { m @
vivid	' v I v @ d
Hungarian	h 6 N ' g e: r\ i: @ n
scan	s k { n
sports	s p o: t s
theme	T i: m
prey	p r\ {I
memory	' m e m r\ i:
today	t @ ' d {I
dismay	d I s ' m {I
October	O k ' t @} b @
riot	' r\ Ae @ t
altar	' O l t @
cashier	k { ' S I@
chocolate	' tS O k l @ t
downhearted	d {O n ' h 6: t @ d
drown	d r\ {O n
dismal	' d I z m @ l
first-hand	' f 3: s t h { n d
in-patient	' I n p {I S @ n t
piano	p i: ' { n @}
tribunal	t r\ @ ' b j }: n @ l
wholl	h }: l
judo	' dZ }: d @}
edible	' e d @ b @ l
Wran	r\ { n
German	' dZ 3: m @ n
longitude	' l O N g @ tS }: d
mortality	m o: ' t { l @ t i:
ferry	' f e r\ i:
fauna	' f o: n @
pickle	' p I k @ l
streak	s t r\ i: k
dropper	' d r\ O p @
earphone	' I@ f @} n
figure	' f I g @
downfall	' d {O n f o: l
inexperience	I n @ k ' s p I@ r\ i: @ n s
critic	' k r\ I t I k
cube	k j }: b
cornflakes	' k o: n f l {I k s
provoke	p r\ @ ' v @} k
bigot	' b I g @ t
afterlife	' 6: f t @ l Ae f
eloquent	' e l @ k w @ n t
innumerable	I ' n j }: m @ r\ @ b @ l
vital	' v Ae t @ l
biography	b Ae ' O g r\ @ f i:
fourth	f o: T
genocide	' dZ e n @ s Ae d
axis	' { k s @ s
spud	s p 6 d
levy	' l e v i:
paramount	' p { r\ @ m {O n t
irrational	I ' r\ { S @ n @ l
cocktail	' k O k t {I l
keepsake	' k i: p s {I k
impartial	I m ' p 6: S @ l
clone	k l @} n
granddaughter	' g r\ { n d o: t @
eighty	' {I t i:
birthday	' b 3: T d {I
floral	' f l O r\ @ l
eighth	{I t T
classroom	' k l 6: s r\ }: m
ombudsman	' O m b @ d z m @ n
commodity	k @ ' m O d @ t i:
amuse	@ ' m j }: z
inform	I n ' f o: m
lagoon	l @ ' g }: n
refund	' r\ i: f 6 n d
exclusive	@ k ' s k l }: s I v
werent	w 3: n t
midnight	' m I d n Ae t
blare	b l e:
mantlepiece	' m { n t @ l p i: s
worship	' w 3: S I p
apex	' {I p e k s
organisation	o: g @ n Ae ' z {I S @ n
he'd	h i: d
platform	' p l { t f o: m
swindle	' s w I n d @ l
loophole	' l }: p h @} l
puzzle	' p 6 z @ l
roses	r\ @} z @ z
lonely	' l @} n l i:
decadent	' d e k @ d @ n t
underneath	6 n d @ ' n i: T
conquer	' k O N k @
wagon	w { g @ n
execute	' e k s @ k j }: t
name	n {I m
realist	' r\ i: @ l @ s t
opera	' O p r\ @
bunion	' b 6 n j @ n
bullion	' b U l j @ n
realise	' r\ i: @ l Ae z
shy	S Ae
regulation	r\ e g j @ ' l {I S @ n
gape	g {I p
Ninjas	n I n dZ @ z
torch	t o: tS
sprinkle	' s p r\ I N k @ l
farewell	f e: ' w e l
begun	b @ ' g 6 n
obsession	@ b ' s e S @ n
sunrise	' s 6 n r\ Ae z
hysteria	h I s ' t I@ r\ i: @
exclamation	e k s k l @ ' m {I S @ n
flaccid	' f l { s @ d
concur	k @ N ' k 3:
intercourse	' I n t @ k o: s
profit	' p r\ O f @ t
emigrate	' e m @ g r\ {I t
factory	' f { k t r\ i:
gram	g r\ { m
clover	' k l @} v @
theory	' T I@ r\ i:
hull	h 6 l
hulk	h 6 l k
sloshed	s l O S t
telepathy	t @ ' l e p @ T i:
hobble	' h O b @ l
delude	d @ ' l }: d
flare	f l e:
impose	I m ' p @} z
gusto	' g 6 s t @}
motion	' m @} S @ n
hypnosis	h I p ' n @} s @ s
yuk	j 6 k
place	p l {I s
swing	s w I N
widow	' w I d @}
scamper	' s k { m p @
origin	' O r\ @ dZ @ n
feign	f {I n
suspend	s @ ' s p e n d
revenue	' r\ e v @ n j }:
legislation	l e dZ @ ' s l {I S @ n
clumsy	' k l 6 m z i:
array	@ ' r\ {I
engineer	e n dZ @ ' n I@
disinterested	d I s ' I n t r\ @ s t @ d
given	g I v @ n
district	' d I s t r\ I k t
talkback	' t o: k b { k
haggle	' h { g @ l
plank	p l { N k
persecute	' p 3: s @ k j }: t
bounty	' b {O n t i:
white	w Ae t
hud	h 6 d
hue	h j }:
hug	h 6 g
hub	h 6 b
cope	k @} p
hum	h 6 m
indoctrinate	I n ' d O k t r\ @ n {I t
hurtful	' h 3: t f U l
hut	h 6 t
immigrant	' I m @ g r\ @ n t
specify	' s p e s @ f Ae
wide	w Ae d
bewitch	b @ ' w I tS
tawdry	' t o: d r\ i:
require	r\ @ ' k w Ae @
r	6:
ooze	}: z
outcome	' {O t k 6 m
oath	@} T
powder	' p {O d @
and	{ n d
froth	f r\ O T
rowdy	' r\ {O d i:
tartan	' t 6: t @ n
ant	{ n t
pastime	' p 6: s t Ae m
rent	r\ e n t
blunder	' b l 6 n d @
pry	p r\ Ae
any	' e n i:
marathon	' m { r\ @ T O n
nonflammable	n O n ' f l { m @ b @ l
silhouette	s I l @ w e t
dining	' d Ae n I N
ideal	Ae ' d i: l
fracture	' f r\ { k tS @
thermometer	T @ ' m O m @ t @
paraphrase	' p { r\ @ f r\ {I z
blunt	b l 6 n t
jodhpurs	' dZ O d p @ z
skilful	' s k I l f @ l
surf	s 3: f
urge	3: dZ
sundry	' s 6 n d r\ i:
multiple	' m 6 l t @ p @ l
pleasure	' p l e Z @
clatter	' k l { t @
bluebird	b l }: b 3: d
aerodrome	' e: r\ @ d r\ @} m
tendon	' t e n d @ n
considered	k @ n s I d @ d
seafood	' s i: f }: d
later	' l {I t @
glutton	' g l 6 t @ n
uncle	' 6 N k @ l
senior	' s i: n j @
quantity	' k w O n t @ t i:
detective	d @ ' t e k t I v
perch	p 3: tS
forage	' f O r\ I dZ
solar	' s @} l @
cheat	tS i: t
cheap	tS i: p
trod	t r\ O d
trespass	' t r\ e s p @ s
hack	h { k
diverge	d Ae ' v 3: dZ
wilt	w I l t
gulf	g 6 l f
shimmer	' S I m @
crime	k r\ Ae m
gulp	g 6 l p
wood	w U d
deign	d {I n
humiliate	h j }: ' m I l i: {I t
arguable	' 6: g j }: @ b @ l
H	{I tS
jazz	dZ { z
festoon	f e s ' t }: n
tailor	' t {I l @
hoyd	h oI d
dye	d Ae
hedge	h e dZ
treachery	' t r\ e tS @ r\ i:
antler	' { n t l @
homestead	' h @} m s t e d
reveal	r\ @ ' v i: l
sabotage	' s { b @ t 6: Z
impolite	I m p @ ' l Ae t
joker	' dZ @} k @
jokes	dZ @} k s
dawdle	' d o: d @ l
through	T r\ }:
pants	p { n t s
picnic	' p I k n I k
pane	p {I n
imposing	I m ' p @} z I N
prowl	p r\ {O l
dickhead	' d I k h e d
college	' k O l I dZ
optometrist	O p ' t O m @ t r\ @ s t
ability	@ ' b I l @ t i:
detect	d @ ' t e k t
voluntary	' v O l @ n t r\ i:
mortgage	' m o: g I dZ
federal	' f e d @ r\ @ l
subsequent	' s 6 b s @ k w @ n t
review	r\ @ ' v j }:
definite	' d e f @ n @ t
outside	{O t ' s Ae d
hiss	h I s
caucus	' k o: k @ s
arrival	@ ' r\ Ae v @ l
guitar	g @ ' t 6:
coma	' k @} m @
comb	k @} m
come	k 6 m
zodiac	' z @} d i: { k
region	' r\ i: dZ @ n
quiet	' k w Ae @ t
contract	' k O n t r\ { k t
berry	' b e r\ i:
senator	' s e n @ t @
railway	' r\ {I l w {I
duty	' d j }: t i:
afterwards	' 6: f t @ w @ d z
kazoo	k @ z }:
pot	p O t
colony	' k O l @ n i:
period	' p I@ r\ i: @ d
insist	I n ' s I s t
poo	p }:
pole	p @} l
colon	' k @} l @ n
polo	' p @} l @}
bizarre	b @ ' z 6:
poll	p O l
subscriber	s @ b ' s k r\ Ae b @
helicopter	' h e l i: k O p t @
hardly	' h 6: d l i:
umpire	' 6 m p Ae @
engine	' e n dZ @ n
direction	d @ ' r\ e k S @ n
exasperate	@ g ' z { s p @ r\ {I t
tasteless	' t {I s t l @ s
reimburse	r\ i: I m ' b 3: s
blessing	' b l e s I N
downwind	d {O n ' w I n d
tiger	t Ae g @
padlock	' p { d l O k
minister	' m I n @ s t @
hernia	' h 3: n i: @
careful	' k e: f @ l
dorm	d o: m
dribble	' d r\ I b @ l
pilot	' p Ae l @ t
case	k {I s
specialised	' s p e S @ l Ae z d
myself	m Ae ' s e l f
amend	@ ' m e n d
mount	m {O n t
cash	k { S
cask	k 6: s k
cast	k 6: s t
slippery	' s l I p @ r\ i:
mound	m {O n d
slippers	' s l I p @ z
telephone	' t e l @ f @} n
discrepancy	d @ ' s k r\ e p @ n s i:
someone	' s 6 m w 6 n
clutter	' k l 6 t @
shopkeeper	' S O p k i: p @
helmet	' h e l m @ t
author	' o: T @
alphabet	' { l f @ b e t
bowl	b @} l
trip	t r\ I p
macaroni	m { k @ ' r\ @} n i:
shifty	' S I f t i:
hermit	' h 3: m @ t
status	' s t {I t @ s
tipsy	' t I p s i:
nest	n e s t
weed	w i: d
disadvantaged	d I s @ d ' v { n t I dZ d
devoid	d @ ' v oI d
petticoat	' p e t i: k @} t
delicate	' d e l @ k @ t
statue	' s t { tS }:
footprint	' f U t p r\ I n t
changing	tS {I n dZ I N
weep	w i: p
cartoon	k 6: ' t }: n
vowed	v {O d
eucalyptus	j }: k @ ' l I p t @ s
delectable	d @ ' l e k t @ b @ l
recital	r\ @ ' s Ae t @ l
aggro	' { g r\ @}
relief	r\ @ ' l i: f
foyer	' f oI @
reward	r\ @ ' w o: d
justify	' dZ 6 s t @ f Ae
clog	k l O g
when	w e n
kilt	k I l t
ninth	n Ae n T
clot	k l O t
lavish	' l { v I S
violent	' v Ae @ l @ n t
cease	s i: s
kiln	k I l n
kilo	' k i: l @}
polish	p O l I S
satin	' s { t @ n
halfway	' h 6: f w {I
blow	b l @}
blot	b l O t
hint	h I n t
rose	r\ @} z
seems	s i: m z
except	@ k ' s e p t
airfield	e: f i: l d
thimble	' T I m b @ l
setting	' s e t I N
bloc	b l O k
rosy	' r\ @} z i:
hine	h Ae n
hind	h Ae n d
disrupt	d I s ' r\ 6 p t
catarrh	k @ ' t 6:
blowout	' b l @} {O t
fridge	f r\ I dZ
inflation	I n ' f l {I S @ n
nappy	' n { p i:
furniture	' f 3: n I tS @
acute	@ ' k j }: t
snore	s n o:
particle	' p 6: t I k @ l
bracelet	' b r\ {I s l @ t
shelf	S e l f
serious	' s I@ r\ i: @ s
snort	s n o: t
tower	t {O @
deduct	d @ ' d 6 k t
jewellery	' dZ }: @ l r\ i:
competition	k O m p @ ' t I S @ n
deduce	d @ ' d j }: s
shortcoming	' S o: t k 6 m I N
Ellen	e l @ n
table	' t {I b @ l
canteen	k { n ' t i: n
intact	I n ' t { k t
slice	s l Ae s
mood	m }: d
renounce	r\ @ ' n {O n s
slick	s l I k
legal	' l i: g @ l
moon	m }: n
doz.	' d 6 z @ n
compulsion	k @ m ' p 6 l S @ n
porter	' p o: t @
doll's	d O l z
